horse_id	年度	順位	出走頭数	勝馬頭数	出走回数	勝利回数	重賞/出走	重賞/勝利	特別/出走	特別/勝利	平場/出走	平場/勝利	芝/出走	芝/勝利	ダート/出走	ダート/勝利	勝馬率	EI	入着賞金(万円)	平均距離(芝)	平均距離(ダ)	代表馬
000a0115cc	2018	430	1	1	6	2	0.0	0.0	2.0	0.0	4.0	2.0	1.0	0.0	5.0	2.0	1.0	2.01	1250.0	0.0	1400.0	2015110098.0
000a0115cc	2017	591	1	0	2	0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.5	310.0	0.0	0.0	2015110098.0
000a010533	2021	125	4	2	15	2	2.0	1.0	8.0	0.0	5.0	1.0	9.0	2.0	6.0	0.0	0.5	2.99	5568.1	1600.0	0.0	2018110004.0
000a010533	2020	310	5	3	20	3	0.0	0.0	4.0	0.0	16.0	3.0	9.0	2.0	11.0	1.0	0.6	0.99	3049.0	1500.0	1200.0	2015101243.0
000a010533	2019	462	5	1	16	1	0.0	0.0	1.0	0.0	15.0	1.0	3.0	1.0	13.0	0.0	0.2	0.39	1200.0	1600.0	0.0	2015101243.0
000a010533	2018	489	4	1	15	1	0.0	0.0	1.0	0.0	14.0	1.0	13.0	1.0	2.0	0.0	0.25	0.34	855.0	1800.0	0.0	2015101602.0
000a010533	2017	581	2	0	5	0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	0.0	1.0	0.0	0.0	0.31	385.0	0.0	0.0	2015101602.0
2005101358	2021	143	17	3	46	4	0.0	0.0	6.0	0.0	40.0	4.0	9.0	0.0	37.0	4.0	0.176	0.62	4875.3	0.0	1400.0	2017101193.0
2005101358	2020	228	22	5	74	5	2.0	0.0	6.0	0.0	66.0	5.0	16.0	2.0	58.0	3.0	0.2269999999999999	0.38	5193.3	1400.0	1633.3	2017106611.0
2005101358	2019	300	14	2	34	3	1.0	0.0	3.0	0.0	30.0	3.0	9.0	0.0	25.0	3.0	0.143	0.37	3162.0	0.0	1466.7	2016103341.0
2005101358	2018	353	6	2	16	2	0.0	0.0	2.0	0.0	14.0	2.0	5.0	1.0	11.0	1.0	0.3329999999999999	0.58	2183.3	1600.0	1800.0	2016103148.0
2005101358	2017	682	1	0	2	0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2015101026.0
